Company,ISIN
Valor Holdings Co Ltd,JP3778400006
Autobacs Seven Co Ltd,JP3172500005
Nishio Holdings Co Ltd,JP3657500009
Sanyo Denki Co Ltd,JP3340800006
Maeda Kosen Co Ltd,JP3861250003
BML Inc,JP3799700004
Fukushima Galilei Co Ltd,JP3805150004
Royal Holdings Co Ltd,JP3983600002
Nitto Kogyo Corp,JP3682400001
Aeon Hokkaido Corp,JP3860270002
Senshu Ikeda Holdings Inc,JP3132600002
Toa Corp (Tokyo),JP3556000002
Nippon Paper Industries Co Ltd,JP3721600009
Tosei Corp,JP3595070008
Kanamoto Co Ltd,JP3215200001
Takara Standard Co Ltd,JP3460000007
Japan Lifeline Co Ltd,JP3754500001
Happinet Corp,JP3770300006
Nanto Bank Ltd,JP3653400006
San-Ai Obbli Co Ltd,JP3323600001
T.Hasegawa Co Ltd,JP3768500005
Mitsuboshi Belting Ltd,JP3904000001
Osaka Steel Co Ltd,JP3184600009
Nextage Co Ltd,JP3758210003
Sumitomo Osaka Cement Co Ltd,JP3400900001
Funai Soken Holdings Inc,JP3825800000
Chugoku Marine Paints Ltd,JP3522600000
Argo Graphics Inc,JP3126110000
SBS Holdings Inc,JP3163500006
Mochida Pharmaceutical Co Ltd,JP3922800002
Awa Bank Ltd,JP3126800006
Fujita Kanko Inc,JP3816800001
Arata Corp,JP3125100002
Mos Food Services Inc,JP3922400001
Nichiha Corp,JP3662200009
Iino Kaiun Kaisha Ltd,JP3131200002
Totetsu Kogyo Co Ltd,JP3595400007
Aichi Corp,JP3103200006
Ai Holdings Corp,JP3105090009
Mitsuuroko Group Holdings Co Ltd,JP3894400005
Japan Investment Adviser Co Ltd,JP3389470000
KeePer Technical Laboratory Co Ltd,JP3236320002
Earth Corp,JP3100190002
Mitsui DM Sugar Holdings Co Ltd,JP3890400009
Goldcrest Co Ltd,JP3306800008
Zojirushi Corp,JP3437400009
Yokogawa Bridge Holdings Corp,JP3955200005
Yurtec Corp,JP3946200007
Matsuya Foods Holdings Co Ltd,JP3869800007
Aoki Holdings Inc,JP3105400000
Hogy Medical Co Ltd,JP3840800001
Nagawa Co Ltd,JP3648700007
Prima Meat Packers Ltd,JP3833200003
Keiyo Bank Ltd,JP3281600001
Tocalo Co Ltd,JP3552290003
Yamabiko Corp,JP3943000004
DOUTOR NICHIRES Holdings Co Ltd,JP3639100001
Kurabo Industries Ltd,JP3268800004
Musashino Bank Ltd,JP3912800004
Takara Bio Inc,JP3460200003
Infomart Corp,JP3153480003
Nomura Co Ltd,JP3762400004
Zuken Inc,JP3412000006
Zeria Pharmaceutical Co Ltd,JP3428850006
Nitta Corp,JP3679850002
SMS Co Ltd,JP3162350007
Nippon Kanzai Holdings Co Ltd,JP3695010003
Arclands Corp,JP3100100001
Aoyama Trading Co Ltd,JP3106200003
Roland Corp,JP3983400007
Noritake Co Ltd,JP3763000001
MegaChips Corp,JP3920860008
Taihei Dengyo Kaisha Ltd,JP3447200001
Riso Kagaku Corp,JP3974400008
Canon Electronics Inc,JP3243200007
Hakuto Co Ltd,JP3766400000
Totech Corp,JP3595300009
Menicon Co Ltd,JP3921270009
Nomura Micro Science Co Ltd,JP3762950008
Hiday Hidaka Corp,JP3765180009
Tokyo Electron Device Ltd,JP3571600000
Kitz Corp,JP3240700009
Shoei Co Ltd,JP3360900009
Tsuburaya Fields Holdings Inc,JP3802680003
Gree Holdings Inc,JP3274070006
Kumiai Chemical Industry Co Ltd,JP3267600009
Es-con Japan Ltd,JP3688330004
Japan Wool Textile Co Ltd,JP3700800000
Hioki EE Corp,JP3783200003
Eagle Industry Co Ltd,JP3130400009
Kyokuto Kaihatsu Kogyo Co Ltd,JP3256900006
Yuasa Trading Co Ltd,JP3945200008
JCU Corp,JP3166200000
Daikokutenbussan Co Ltd,JP3483050005
Sakai Moving Service Co Ltd,JP3314200001
Integrated Design & Engineering Holdings Co Ltd,JP3104770007
Sinko Industries Ltd,JP3372800007
Morita Holdings Corp,JP3925600003
NS United Kaiun Kaisha Ltd,JP3385000009
Topre Corp,JP3598200008
Change Holdings Inc,JP3507750002
Nichicon Corp,JP3661800007
Tama Home Co Ltd,JP3470900006
TV Tokyo Holdings Corp,JP3547060008
Techmatrix Corp,JP3545130001
DyDo Group Holdings Inc,JP3488400007
Nippon Light Metal Holdings Co Ltd,JP3700200003
Tomony Holdings Inc,JP3631700006
Sakata Inx Corp,JP3314800008
Hyakujushi Bank Ltd,JP3794200000
Toenec Corp,JP3552230009
Milbon Co Ltd,JP3910650005
Chiba Kogyo Bank Ltd,JP3512200001
Hamakyorex Co Ltd,JP3771150004
Takamatsu Construction Group Co Ltd,JP3457900003
ShinMaywa Industries Ltd,JP3384600007
RS Technologies Co Ltd,JP3100350002
Lifedrink Company Inc,JP3966680005
Medley Inc,JP3921310003
TSI Holdings Co Ltd,JP3538690003
Sun Frontier Fudousan Co Ltd,JP3336950005
Nittetsu Mining Co Ltd,JP3680800004
Itochu-Shokuhin Co Ltd,JP3143700007
KH Neochem Co Ltd,JP3277040006
Sanyo Chemical Industries Ltd,JP3337600005
Eizo Corp,JP3651080008
Krosaki Harima Corp,JP3272400007
PILLAR Corp,JP3747800005
Bellsystem24 Holdings Inc,JP3835760004
Shibuya Corp,JP3356000004
Wacom Co Ltd,JP3993400005
Showa Sangyo Co Ltd,JP3366400004
Ogaki Kyoritsu Bank Ltd,JP3176000002
Prestige International Inc,JP3833620002
M&A Capital Partners Co Ltd,JP3167320005
UT Group Co Ltd,JP3949500007
Proto Corp,JP3833740008
Itoki Corp,JP3142700008
K&O Energy Group Inc,JP3277020008
Senshu Electric Co Ltd,JP3424400004
Digital Arts Inc,JP3549020000
Okamoto Industries Inc,JP3192800005
Koshidaka Holdings Co Ltd,JP3297360004
Union Tool Co,JP3950600001
Premium Group Co Ltd,JP3833710001
Japan Pulp & Paper Co Ltd,JP3694000005
Shibaura Machine Co Ltd,JP3592600005
Mirai Industry Co Ltd,JP3910600000
Axial Retailing Inc,JP3772400002
Nichiden Corp,JP3661950000
Wakita & Co Ltd,JP3992000004
Kyoei Steel Ltd,JP3247400009
Genky DrugStores Co Ltd,JP3282750003
Maxell Ltd,JP3791800000
Furukawa Co Ltd,JP3826800009
Onward Holdings Co Ltd,JP3203500008
Piolax Inc,JP3780400002
Gunze Ltd,JP3275200008
Tsurumi Manufacturing Co Ltd,JP3536200003
Kyorin Pharmaceutical Co Ltd,JP3247090008
Metawater Co Ltd,JP3921260000
Belluna Co Ltd,JP3835650007
Kameda Seika Co Ltd,JP3219800004
Shinnihon Corp,JP3380300008
Toyobo Co Ltd,JP3619800000
Kintetsu Department Store Co Ltd,JP3250800004
Shikoku Kasei Holdings Corp,JP3349600001
SIGMAXYZ Holdings Inc,JP3348950001
Raiznext Corp,JP3331600001
M&A Research Institute Holdings Inc,JP3167370000
Alpen Co Ltd,JP3126470008
Konishi Co Ltd,JP3300800004
Halows Co Ltd,JP3773750009
Pacific Industrial Co Ltd,JP3448400006
JBCC Holdings Inc,JP3746800006
Pasona Group Inc,JP3781490002
Weathernews Inc,JP3154500007
IDEC Corp,JP3138800002
Central Glass Co Ltd,JP3425000001
Daiwa Industries Ltd,JP3505800007
Aizawa Securities Group Co Ltd,JP3101850000
En Japan Inc,JP3168700007
eGuarantee Inc,JP3130300001
Nikkiso Co Ltd,JP3668000007
Matsuda Sangyo Co Ltd,JP3868500004
Tsugami Corp,JP3531800005
Nishimoto Co Ltd,JP3659350007
Eiken Chemical Co Ltd,JP3160700005
NEC Capital Solutions Ltd,JP3164740007
Shinagawa Refractories Co Ltd,JP3353200003
Nippon Road Co Ltd,JP3740200005
Noritz Corp,JP3759400009
Toukei Computer Co Ltd,JP3590850008
Toyo Tanso Co Ltd,JP3616000000
Tokyu Construction Co Ltd,JP3567410000
Nachi-Fujikoshi Corp,JP3813200007
Nissei ASB Machine Co Ltd,JP3678200001
World Co Ltd,JP3990210001
Oki Electric Industry Co Ltd,JP3194000000
Shin Nippon Air Technologies Co Ltd,JP3380250005
Zacros Corp,JP3821000001
TPR Co Ltd,JP3542400001
Star Micronics Co Ltd,JP3399000003
TRE Holdings Corp,JP3538540000
Toho Bank Ltd,JP3601000007
Hibiya Engineering Ltd,JP3793400007
Riken Vitamin Co Ltd,JP3972600005
Insource Co Ltd,JP3152670000
Daiichi Jitsugyo Co Ltd,JP3475800003
Kojima Co Ltd,JP3297380002
Shofu Inc,JP3363600002
S Foods Inc,JP3399300007
Asahi Yukizai Corp,JP3117200000
Chori Co Ltd,JP3528200003
Shizuoka Gas Co Ltd,JP3351150002
Doshisha Co Ltd,JP3638000004
Optorun Co Ltd,JP3197760006
Nxera Pharma Co Ltd,JP3431300007
GIFT Holdings Inc,JP3264860002
Mitsubishi Research Institute Inc,JP3902200009
Bando Chemical Industries Ltd,JP3779000003
Oiles Corp,JP3174200000
Toa Road Corp,JP3558000000
Wellneo Sugar Co Ltd,JP3676600004
Furuya Metal Co Ltd,JP3828850002
Japan Display Inc,JP3389660006
Nippon Ceramic Co Ltd,JP3725200004
Raksul Inc,JP3967180005
Kamei Corp,JP3219400003
Oyo Corp,JP3174600001
Furuno Electric Co Ltd,JP3828400006
NPR-Riken Corp,JP3970700005
Tokai Corp (Gifu),JP3552250007
PS Construction Co Ltd,JP3801400007
Restar Corp,JP3944360001
Kappa Create Co Ltd,JP3212400000
Keihanshin Building Co Ltd,JP3279000008
Ryobi Ltd,JP3975800008
Nichireki Group Co Ltd,JP3665600007
Uchida Yoko Co Ltd,JP3157200001
Avant Group Corp,JP3548680002
G-Tekt Corp,JP3236750000
Obara Group Inc,JP3197650009
Mars Group Holdings Corp,JP3860220007
Tsukishima Holdings Co Ltd,JP3532200007
Sato Holdings Corp,JP3321400008
Komori Corp,JP3305800009
Kosaido Holdings Co Ltd,JP3287700003
Mirarth Holdings Inc,JP3460800000
Nissha Co Ltd,JP3713200008
Ki-Star Real Estate Co Ltd,JP3277620005
Hochiki Corp,JP3837400005
Osaka Titanium Technologies Co Ltd,JP3407200009
Sumitomo Seika Chemicals Co Ltd,JP3405600002
Katakura Industries Co Ltd,JP3211400001
Geo Holdings Corp,JP3282400005
Toho Titanium Co Ltd,JP3601800000
Nippon Parking Development Co Ltd,JP3728000005
Amvis Holdings Inc,JP3128660002
Sinanen Holdings Co Ltd,JP3354000006
Intage Holdings Inc,JP3152790006
Torishima Pump Mfg Co Ltd,JP3636600003
Ishihara Sangyo Kaisha Ltd,JP3136800004
TDC Soft Inc,JP3539000004
JCR Pharmaceuticals Co Ltd,JP3701000006
Meisei Industrial Co Ltd,JP3918200001
Eslead Corp,JP3688350002
Futaba Industrial Co Ltd,JP3824000008
Teikoku Sen-I Co Ltd,JP3540800004
CTI Engineering Co Ltd,JP3281900005
Yamanashi Chuo Bank Ltd,JP3942000005
J.S.B. Co Ltd,JP3386630002
SRA Holdings Inc,JP3161450006
Euglena Co Ltd,JP3944370000
Sumitomo Mitsui Construction Co Ltd,JP3889200006
Renova Inc,JP3981200003
Nissin Corp,JP3674400001
Godo Steel Ltd,JP3307800007
Chubu Steel Plate Co Ltd,JP3524600008
Iriso Electronics Co Ltd,JP3149800009
J-Oil Mills Inc,JP3840000008
Marusan Securities Co Ltd,JP3874800000
Computer Engineering & Consulting Ltd,JP3346200003
United Arrows Ltd,JP3949400000
Daiho Corp,JP3498600000
Sparx Group Co Ltd,JP3399900004
Colopl Inc,JP3305960001
First Bank of Toyama Ltd,JP3632150003
Yondenko Corp,JP3962600007
Cawachi Ltd,JP3226450009
Shin Nippon Biomedical Laboratories Ltd,JP3379950003
Pack Corp,JP3345900009
Shoei Foods Corp,JP3361200003
Broadleaf Co Ltd,JP3831490002
JSP Corp,JP3386000008
Hokuto Corp,JP3843250006
Nippon Yakin Kogyo Co Ltd,JP3752600001
Nagaileben Co Ltd,JP3647000003
Link and Motivation Inc,JP3977020001
Chofu Seisakusho Co Ltd,JP3527800001
Fukui Computer Holdings Inc,JP3803800006
Miroku Jyoho Service Co Ltd,JP3910700008
Fixstars Corp,JP3802950000
Curves Holdings Co Ltd,JP3205100005
IwaiCosmo Holdings Inc,JP3149950002
Optex Group Co Ltd,JP3197700002
Plus Alpha Consulting Co Ltd,JP3832700003
SBI Global Asset Management Co Ltd,JP3922100007
Tachi-S Co Ltd,JP3465400004
Japan Transcity Corp,JP3739600009
Strike Co Ltd,JP3399780000
Kurimoto Ltd,JP3270800000
Transaction Co Ltd,JP3635670007
Valqua Ltd,JP3744200001
Hosokawa Micron Corp,JP3846000002
Nitto Fuji Flour Milling Co Ltd,JP3683200004
San Ju San Financial Group Inc,JP3333500001
Nihon Nohyaku Co Ltd,JP3741800001
Hokuetsu Industries Co Ltd,JP3841400009
TOC Co Ltd,JP3538400007
Nippon Signal Co Ltd,JP3716000009
Comture Corp,JP3305560009
Kisoji Co Ltd,JP3237000009
Yamae Group Holdings Co Ltd,JP3934350004
Saibu Gas Holdings Co Ltd,JP3311600005
Base Co Ltd,JP3835210000
Joshin Denki Co Ltd,JP3393000009
Qol Holdings Co Ltd,JP3266160005
Tachibana Eletech Co Ltd,JP3466600008
Saint Marc Holdings Co Ltd,JP3337070001
VT Holdings Co Ltd,JP3854700006
I'LL Inc,JP3105180008
Tenma Corp,JP3547800007
Fujio Food Group Inc,JP3807770007
Erex Co Ltd,JP3130830007
Denyo Co Ltd,JP3551600004
Press Kogyo Co Ltd,JP3833600004
Mandom Corp,JP3879400004
Vital Ksk Holdings Inc,JP3778280002
ASKA Pharmaceutical Holdings Co Ltd,JP3119660003
Osaka Organic Chemical Industry Ltd,JP3187000009
Sekisui Jushi Corp,JP3420200002
Ringer Hut Co Ltd,JP3977000003
Xebio Holdings Co Ltd,JP3428800001
Aeon Fantasy Co Ltd,JP3131420006
Vision Inc,JP3800330007
Okinawa Financial Group Inc,JP3194750000
Fujiya Co Ltd,JP3821200007
Aucnet Inc,JP3172060000
Tonami Holdings Co Ltd,JP3629400007
Dainichiseika Color & Chemicals MFG Co Ltd,JP3492200005
Seikitokyu Kogyo Co Ltd,JP3414600001
Avex Inc,JP3160950006
Fujibo Holdings Inc,JP3820800005
JM Holdings Co Ltd,JP3389690003
Bank of Iwate Ltd,JP3152400002
Yahagi Construction Co Ltd,JP3933200002
Zenrin Co Ltd,JP3430400006
Maruka Furusato Corp,JP3828100002
Retail Partners Co Ltd,JP3873200004
Genki Global Dining Concepts Corp,JP3282800006
Fullcast Holdings Co Ltd,JP3827800008
A&D Holon Holdings Co Ltd,JP3160130005
Stella Chemifa Corp,JP3399720006
Softcreate Holdings Corp,JP3436040004
Forum Engineering Inc,JP3803060007
MTI Ltd,JP3167480007
Miyazaki Bank Ltd,JP3908000007
Can Do Co Ltd,JP3244550004
Nippon Fine Chemical Co Ltd,JP3720000003
Tokyo Keiki Inc,JP3624000000
Espec Corp,JP3469800001
Intermestic Inc,JP3152840009
G-7 Holdings Inc,JP3172450003
Mie Kotsu Group Holdings Inc,JP3332510001
M-up Holdings Inc,JP3167310006
Aida Engineering Ltd,JP3102400003
Starzen Co Ltd,JP3399100001
Matsuya Co Ltd,JP3869200000
SRE Holdings Corp,JP3161320001
FP Partner Inc,JP3167010002
EM Systems Co Ltd,JP3130200003
Asanuma Corp,JP3110000001
Mitsui Matsushima Holdings Co Ltd,JP3894000003
BEENOS Inc,JP3758110005
Iwaki Co Ltd,JP3150100000
Altech Corp,JP3126350002
Seika Corp,JP3414200000
Kawada Technologies Inc,JP3226300006
Nippon Hume Corp,JP3745800007
Asahi Kogyosha Co Ltd,JP3112800002
Teikoku Electric Mfg. Co Ltd,JP3541800003
Ryoden Corp,JP3976200000
Tokyo Tekko Co Ltd,JP3584600005
Riken Technos Corp,JP3973000007
Sagami Holdings Corp,JP3316200009
Kyokuto Securities Co Ltd,JP3256970009
Yasuda Logistics Corp,JP3932820008
SIIX Corp,JP3346700002
Oita Bank Ltd,JP3175200009
Ebara Jitsugyo Co Ltd,JP3165950001
Midac Holdings Co Ltd,JP3887800005
Sumiseki Holdings Inc,JP3400750000
MEC Co Ltd,JP3920890005
Bronco Billy Co Ltd,JP3831550003
Loadstar Capital KK,JP3982600003
Oriental Shiraishi Corp,JP3197950003
Hirata Corp,JP3795300007
Yokorei Co Ltd,JP3957000007
Shinsho Corp,JP3374000002
Anest Iwata Corp,JP3122450004
Gremz Inc,JP3952860009
Okinawa Electric Power Co Inc,JP3194700005
ZIGExN Co Ltd,JP3386490001
Kanto Denka Kogyo Co Ltd,JP3232600001
SRS Holdings Co Ltd,JP3322350004
Sodick Co Ltd,JP3434200006
Japan System Techniques Co Ltd,JP3712550007
Shikoku Bank Ltd,JP3350000000
Macromill Inc,JP3863030007
Oisix Ra Daichi Inc,JP3174190003
Topy Industries Ltd,JP3630200008
Procrea Holdings Inc,JP3833850005
Ministop Co Ltd,JP3905950006
Sala Corp,JP3310350008
Unipres Corp,JP3952550006
Cre Inc,JP3346080009
Kyokuyo Co Ltd,JP3257200000
KPP Group Holdings Co Ltd,JP3293350009
Kanagawa Chuo Kotsu Co Ltd,JP3214600003
Cresco Ltd,JP3271100004
Miyaji Engineering Group Inc,JP3908700002
Sintokogio Ltd,JP3378200004
Mimaki Engineering Co Ltd,JP3907150001
France Bed Holdings Co Ltd,JP3826500005
Miyakoshi Holdings Inc,JP3907850006
KU Holdings Co Ltd,JP3277300004
Bank of The Ryukyus Ltd,JP3975000005
Macbee Planet Inc,JP3862970005
Cota Co Ltd,JP3298900006
Enplas Corp,JP3169800004
Fujicco Co Ltd,JP3818700001
Tsuzuki Denki Co Ltd,JP3533800003
SFP Holdings Co Ltd,JP3162250009
Nippon Carbon Co Ltd,JP3690400001
Jamco Corp,JP3390000002
Tokushu Tokai Paper Co Ltd,JP3624900001
Yukiguni Maitake Co Ltd,JP3947010009
Koatsu Gas Kogyo Co Ltd,JP3285800003
Aiphone Co Ltd,JP3105050003
Dear Life Co Ltd,JP3548720006
Arisawa Mfg Co Ltd,JP3126000003
Shibusawa Logistics Corp,JP3355600002
Nakayama Steel Works Ltd,JP3646400006
Yamaichi Electronics Co Ltd,JP3934200001
KRS Corp,JP3244700005
Lec Inc,JP3410800001
Pia Corp,JP3801570007
Shinnihonseiyaku Co Ltd,JP3381200009
Business Engineering Corp,JP3618800001
Key Coffee Inc,JP3236300004
Elan Corp,JP3167680002
Alpha Systems Inc,JP3126330004
JP-Holdings Inc,JP3386190007
Riso Kyoiku Co Ltd,JP3974300000
Alconix Corp,JP3126210008
Tamura Corp,JP3471000004
Tomoku Co Ltd,JP3554000004
Sakai Chemical Industry Co Ltd,JP3312800000
Jinushi Co Ltd,JP3714200007
Vector Inc,JP3835500004
Honeys Holdings Co Ltd,JP3770080004
Wakachiku Construction Co Ltd,JP3990800009
Yamagata Bank Ltd,JP3934800008
Furukawa Battery Co Ltd,JP3827600002
CELSYS Inc,JP3100260003
Globeride Inc,JP3503800009
Fukuda Corp,JP3805600008
Giftee Inc,JP3264870001
Akatsuki Inc,JP3107000006
DaikyoNishikawa Corp,JP3481300006
HotLand Co Ltd,JP3851950000
Morito Co Ltd,JP3926200001
Sanyo Electric Railway Co Ltd,JP3341600009
Ya-Man Ltd,JP3930050004
NJS Co Ltd,JP3718600004
Hokkaido Gas Co Ltd,JP3847000001
Yondoshi Holdings Inc,JP3119950008
Solasto Corp,JP3436250009
Yamashin-Filter Corp,JP3936600000
Fukui Bank Ltd,JP3803600000
Subaru Enterprise Co Ltd,JP3399800006
Advan Group Co Ltd,JP3121950004
Kohsoku Corp,JP3288900008
Nittoc Construction Co Ltd,JP3684800000
Marudai Food Co Ltd,JP3876400007
Net Protections Holdings Inc,JP3758270007
Okura Industrial Co Ltd,JP3178400002
Nitto Kohki Co Ltd,JP3682300003
Daiki Aluminium Industry Co Ltd,JP3480600000
Seikagaku Corp,JP3414000004
Gakken Holdings Co Ltd,JP3234200008
Asahi Diamond Industrial Co Ltd,JP3114400009
Yamatane Corp,JP3937600009
JDC Corp,JP3707200006
Ehime Bank Ltd,JP3166400006
Central Security Patrols Co Ltd,JP3425400003
Anicom Holdings Inc,JP3122440005
Yomeishu Seizo Co Ltd,JP3953800004
Chiyoda Co Ltd,JP3528400009
Tanseisha Co Ltd,JP3472200009
Nihon Chouzai Co Ltd,JP3729200000
Watami Co Ltd,JP3993900004
PCA Corp,JP3801500004
Nichiban Co Ltd,JP3662400005
Cosel Co Ltd,JP3283700007
Toyo Securities Co Ltd,JP3611800008
Oro Co Ltd,JP3201900002
NSW Inc,JP3712500002
Tomen Devices Corp,JP3553900006
Access Co Ltd,JP3108060009
Sanyo Trading Co Ltd,JP3342500000
Tsubakimoto Kogyo Co Ltd,JP3534600006
Rock Field Co Ltd,JP3984200000
Takachiho Koheki Co Ltd,JP3457710006
Icom Inc,JP3101400004
Nippon Seisen Co Ltd,JP3721800005
Akita Bank Ltd,JP3107600003
Ichinen Holdings Co Ltd,JP3142100001
CAC Holdings Corp,JP3346300001
Charm Care Corp,JP3512740006
Chikaranomoto Holdings Co Ltd,JP3507780009
Takara & Company Ltd,JP3459000000
Okabe Co Ltd,JP3192000002
Koa Corp,JP3283400004
Giken Ltd,JP3264200001
ST Corp,JP3162800001
Shinwa Co Ltd,JP3384710004
Tekken Corp,JP3545600003
FJ Next Holdings Co Ltd,JP3166930002
Litalico Inc,JP3974470001
OPTiM Corp,JP3197690005
AIT Corp,JP3160050005
Creek & River Co Ltd,JP3269700005
Chuo Spring Co Ltd,JP3517800003
Digital Information Technologies Corp,JP3549060006
Istyle Inc,JP3102320003
Hoosiers Holdings Co Ltd,JP3802060008
Ichikoh Industries Ltd,JP3141600001
Hokko Chemical Industry Co Ltd,JP3851000004
Daikoku Denki Co Ltd,JP3483100008
Value HR Co Ltd,JP3778410005
Forval Corp,JP3802750004
Chubushiryo Co Ltd,JP3525400002
Win-Partners Co Ltd,JP3154390003
Nagano Keiki Co Ltd,JP3648350001
Waseda Academy Co Ltd,JP3993750003
Inui Global Logistics Co Ltd,JP3146800002
Nippon Denko Co Ltd,JP3734600004
Bank of Saga Ltd,JP3315200000
Tomoe Engineering Co Ltd,JP3631600008
Onoken Co Ltd,JP3196700003
Dream Incubator Inc,JP3639420003
SBI Aruhi Corp,JP3126290000
World Holdings Co Ltd,JP3990220000
Tokyo Energy & Systems Inc,JP3585400009
Asahi Co Ltd,JP3110500000
Fudo Tetra Corp,JP3825600004
Yashima Denki Co Ltd,JP3931700003
Nippon Rietec Co Ltd,JP3510600004
Toyo Corp,JP3616600007
Neturen Co Ltd,JP3288200003
Shinko Shoji Co Ltd,JP3374200008
Osaki Electric Co Ltd,JP3187600006
Foster Electric Co Ltd,JP3802800007
Warabeya Nichiyo Holdings Co Ltd,JP3994400004
Carta Holdings Inc,JP3855650002
Daitron Co Ltd,JP3487600003
Nippon Beet Sugar Manufacturing Co Ltd,JP3732600006
Yakuodo Holdings Co Ltd,JP3931410009
Kyodo Printing Co Ltd,JP3252800002
ITFor Inc,JP3530000003
Rheon Automatic Machinery Co Ltd,JP3979400003
Scroll Corp,JP3913600007
INES Corp,JP3105000008
Step Co Ltd,JP3399700008
FreeBit Co Ltd,JP3826720009
Kakiyasu Honten Co Ltd,JP3206500005
Dai Nippon Toryo Co Ltd,JP3495400008
Yokowo Co Ltd,JP3954200006
Quick Co Ltd,JP3266000003
Melco Holdings Inc,JP3921080002
Tsutsumi Jewelry Co Ltd,JP3533500009
Chiyoda Integre Co Ltd,JP3528450004
Mitsuba Corp,JP3895200008
Nippon Air Conditioning Services Co Ltd,JP3699500009
Studio Alice Co Ltd,JP3399240005
Mito Securities Co Ltd,JP3905400002
Nippon Thompson Co Ltd,JP3739400004
Treasure Factory Co Ltd,JP3637270004
WDB Holdings Co Ltd,JP3505940001
Nippon Sheet Glass Co Ltd,JP3686800008
Hokuriku Electrical Construction Co Ltd,JP3845000003
Mory Industries Inc,JP3924000007
Sanyo Shokai Ltd,JP3339400008
Fuji Corp (Miyagi),JP3812300006
Morozoff Ltd,JP3927600001
ITmedia Inc,JP3104880004
Uoriki Co Ltd,JP3155800000
CMK Corp,JP3712000003
Pronexus Inc,JP3119000002
Kondotec Inc,JP3306050000
Gecoss Corp,JP3225500002
I'rom Group Co Ltd,JP3105170009
Kanaden Corp,JP3215000005
Tayca Corp,JP3539300008
Meito Sangyo Co Ltd,JP3920200007
Yamada Consulting Group Co Ltd,JP3588100002
CK San-Etsu Co Ltd,JP3325100000
Sun-Wa Technos Corp,JP3345400000
Komatsu Matere Co Ltd,JP3304600004
CTS Co Ltd,JP3346970001
CareNet Inc,JP3277550004
Hagiwara Electric Holdings Co Ltd,JP3765600006
Asia Pile Holdings Corp,JP3389640008
Japan Cash Machine Co Ltd,JP3697800005
Tobishima Holdings Inc,JP3629810007
Hisaka Works Ltd,JP3784200002
ID Holdings Corp,JP3153600006
Yotai Refractories Co Ltd,JP3953600008
Tazmo Co Ltd,JP3468000009
Fujikura Composites Inc,JP3811600000
Taki Chemical Co Ltd,JP3461000006
Shima Seiki Mfg. Ltd,JP3356500003
Fuji Pharma Co Ltd,JP3816200004
Takaoka Toko Co Ltd,JP3591600006
Tochigi Bank Ltd,JP3627800000
Natori Co Ltd,JP3651060000
Alleanza Holdings Co Ltd,JP3500050004
Business Brain Showa-Ota Inc,JP3800300000
Nihon Trim Co Ltd,JP3739700007
Management Solutions Co Ltd,JP3869980007
Watahan & Co Ltd,JP3993830003
Sanshin Electronics Co Ltd,JP3333200008
Ceres Inc,JP3423570005
Okuwa Co Ltd,JP3172150009
Amiyaki Tei Co Ltd,JP3124450002
Zuiko Corp,JP3411900008
Nac Co Ltd,JP3651020004
TOA Corp (Hyogo),JP3538600002
Imuraya Group Co Ltd,JP3149200002
Ishihara Chemical Co Ltd,JP3136900002
Gakujo Co Ltd,JP3234400004
Marvelous Inc,JP3860230006
Akebono Brake Industry Co Ltd,JP3108400007
MarkLines Co Ltd,JP3860210008
Sato Sho-Ji Corp,JP3322000005
IPS Inc,JP3104910009
I-Net Corp,JP3105010007
Airport Facilities Co Ltd,JP3266050008
Sumida Corp,JP3400800003
JK Holdings Co Ltd,JP3389570007
KNT-CT Holdings Co Ltd,JP3260400001
Daito Pharmaceutical Co Ltd,JP3486150000
Kenko Mayonnaise Co Ltd,JP3281850002
FAN Communications Inc,JP3802840003
Feed One Co Ltd,JP3802960009
Kyosan Electric Manufacturing Co Ltd,JP3248800009
Computer Institute of Japan Ltd,JP3346170008
Toyo Kanetsu KK,JP3554400006
Shimojima Co Ltd,JP3359500000
PR Times Corp,JP3801050000
Rion Co Ltd,JP3969700008
Takebishi Corp,JP3463100002
TerraSky Co Ltd,JP3546300009
H-One Co Ltd,JP3795200009
Pacific Metals Co Ltd,JP3448000004
Koa Shoji Holdings Co Ltd,JP3283420002
Mitsubishi Kakoki Kaisha Ltd,JP3896000001
Kita-Nippon Bank Ltd,JP3238200004
Nippon Sharyo Ltd,JP3713600009
I-ne Co Ltd,JP3100680002
Ebara Foods Industry Inc,JP3165930003
Tachikawa Corp,JP3466200007
Japan Electronic Materials Corp,JP3735300000
FuRyu Corp,JP3826770004
User Local Inc,JP3944410004
Satori Electric Co Ltd,JP3322300009
Moriroku Holdings Co Ltd,JP3927450001
Star Mica Holdings Co Ltd,JP3399340003
Sourcenext Corp,JP3431200009
Sankyo Seiko Co Ltd,JP3328000009
Komatsu Wall Industry Co Ltd,JP3303200004
Eternal Hospitality Group Co Ltd,JP3635900008
Careerlink Co Ltd,JP3244520007
Wowow Inc,JP3990770004
ValueCommerce Co Ltd,JP3778390009
LIKE Inc,JP3386120004
Meiwa Corp,JP3920600008
Ichiyoshi Securities Co Ltd,JP3142300007
Toho Co Ltd (Hyogo),JP3553200001
Yossix Holdings Co Ltd,JP3957600004
